aX,aY,aZ,gX,gY,gZ
0.529,-0.020,0.799,0.916,-2.930,-1.160
0.523,-0.032,0.802,-0.916,-1.953,-0.427
0.520,-0.045,0.811,-4.333,-1.160,1.648
0.512,-0.048,0.823,-7.141,-0.793,3.784
0.514,-0.064,0.823,-7.263,-0.488,4.639
0.504,-0.045,0.811,-3.174,-0.122,4.700
0.497,-0.034,0.804,0.549,0.488,5.615
0.501,-0.015,0.803,1.648,0.977,5.859
0.507,-0.008,0.800,0.488,0.488,4.700
0.511,-0.024,0.806,-0.305,0.427,3.113
0.519,-0.031,0.812,-1.709,1.099,2.930
0.529,-0.029,0.822,-1.892,1.038,2.502
0.535,-0.026,0.824,-0.671,0.671,0.000
0.545,-0.023,0.826,-0.732,0.000,-1.343
0.550,-0.020,0.829,-1.648,-0.244,-0.366
0.546,-0.018,0.818,-3.845,0.061,2.869
0.517,-0.027,0.816,-4.822,-0.366,6.165
0.491,-0.020,0.813,-2.625,0.061,8.728
0.495,-0.006,0.809,1.160,0.732,8.484
0.482,-0.023,0.810,4.822,-0.488,5.493
0.485,-0.061,0.817,9.644,0.000,2.930
0.497,-0.067,0.826,10.315,1.831,3.174
0.498,-0.083,0.837,9.766,2.869,4.944
0.474,-0.106,0.878,11.047,4.517,6.409
0.452,-0.105,0.928,17.456,7.629,7.996
0.436,-0.131,0.973,20.508,10.254,10.864
0.373,-0.191,1.079,22.522,13.550,15.991
0.351,-0.360,1.207,29.114,22.400,19.958
0.323,-0.525,1.429,31.616,34.119,24.780
0.284,-0.680,1.659,26.489,50.049,31.616
0.234,-0.837,1.877,30.090,67.505,29.236
0.144,-1.016,2.100,27.100,82.581,23.682
0.063,-1.143,2.371,12.451,96.680,26.917
0.037,-1.344,2.547,-9.277,105.713,34.302
-0.051,-1.423,2.667,-41.382,109.314,51.453
-0.193,-1.317,2.655,-79.651,116.760,76.172
-0.330,-1.361,2.412,-106.873,122.070,78.552
-0.498,-1.275,2.225,-134.277,121.094,78.613
-0.717,-1.036,2.018,-159.790,119.263,86.975
-1.014,-0.683,1.663,-188.049,130.005,112.061
-1.335,-0.399,1.395,-216.797,160.156,141.602
-1.533,-0.224,1.001,-229.797,201.843,160.156
-1.418,-0.223,0.461,-226.013,241.516,171.387
-1.059,-0.167,0.274,-220.520,282.227,176.025
-0.559,-0.173,0.099,-199.585,296.448,137.268
-0.097,-0.233,-0.339,-171.387,298.584,78.186
0.302,-0.364,-1.075,-162.231,307.434,57.495
0.511,-0.217,-2.159,-191.162,298.279,89.478
0.721,0.194,-3.379,-239.319,290.344,130.371
